"","nb","glm","rpart","svmLinear","knn","nnet","rf","gbm","C5.0","treebag"
"Fold05.Rep05",0.835777126099707,0.631964809384164,0.676602086438152,0.48533724340176,0.836065573770492,0.774193548387097,0.767511177347243,0.790611028315946,0.5,0.593108504398827
"Fold06.Rep05",0.745156482861401,0.801788375558867,0.698956780923994,0.354694485842027,0.74441132637854,0.824143070044709,0.619970193740686,0.788375558867362,0.5,0.780923994038748
"Fold07.Rep05",0.628912071535022,0.756598240469208,0.604321907600596,0.782991202346041,0.628912071535022,0.842026825633383,0.756598240469208,0.818181818181818,0.5,0.661290322580645
"Fold08.Rep05",0.788375558867362,0.687034277198212,0.644428152492669,0.538002980625931,0.675219941348974,0.779433681073025,0.756333830104322,0.794721407624633,0.651266766020864,0.703427719821162
"Fold09.Rep05",0.748137108792846,0.736214605067064,0.593144560357675,0.60655737704918,0.668405365126677,0.870342771982116,0.734724292101341,0.654692082111437,0.740685543964232,0.802533532041729
"Fold10.Rep05",0.604321907600596,0.791356184798808,0.717585692995529,0.402384500745156,0.669150521609538,0.868852459016393,0.916542473919523,0.798807749627422,0.598973607038123,0.755588673621461
"Fold01.Rep06",0.782414307004471,0.752199413489736,0.855439642324888,0.281524926686217,0.871087928464978,0.804985337243402,0.843517138599106,0.653958944281525,0.5,0.810850439882698
"Fold02.Rep06",0.786885245901639,0.824143070044709,0.711624441132638,0.439642324888227,0.80327868852459,0.665689149560117,0.839046199701937,0.663489736070381,0.5,0.725037257824143
"Fold03.Rep06",0.734604105571848,0.80327868852459,0.640089418777943,0.347242921013413,0.821162444113264,0.836065573770492,0.628299120234604,0.746646795827124,0.5,0.763785394932936
"Fold04.Rep06",0.76602086438152,0.678885630498534,0.547653958944281,0.612903225806452,0.546187683284457,0.631231671554252,0.772727272727273,0.816691505216095,0.5,0.743401759530792
"Fold05.Rep06",0.80327868852459,0.815201192250373,0.698211624441133,0.636363636363636,0.819672131147541,0.651026392961877,0.83532041728763,0.898826979472141,0.649776453055142,0.81892697466468
"Fold06.Rep06",0.852459016393443,0.616244411326379,0.894187779433681,0.383755588673621,0.778688524590164,0.764530551415797,0.818181818181818,0.890029325513196,0.805514157973174,0.583457526080477
"Fold07.Rep06",0.873323397913562,0.788375558867362,0.767511177347243,0.645305514157973,0.734724292101341,0.84053651266766,0.760059612518629,0.771982116244411,0.631231671554252,0.733233979135618
